SJC,AUS,1476
SJC,BOS,2689
SJC,BUR,296
SJC,DAL,1450
SJC,DEN,948
SJC,DFW,1438
SJC,HNL,2417
SJC,IAH,1608
SJC,JFK,2569
SJC,KOA,2384
SJC,LAS,386
SJC,LAX,308
SJC,LIH,2466
SJC,MDW,1838
SJC,MSP,1576
SJC,OGG,2355
SJC,ONT,333
SJC,ORD,1829
SJC,PDX,569
SJC,PHX,621
SJC,SAN,417
SJC,SEA,697
SJC,SLC,584
SJC,SNA,342
ABE,ATL,692
ABE,DTW,425
ABE,ORD,654.273954116059
LGA,AGS,678
LGA,ATL,762
LGA,BGR,378
LGA,BHM,866
LGA,BNA,764
LGA,BOS,184
LGA,BTV,258
LGA,BUF,292
LGA,BZN,1894
LGA,CAE,617
LGA,CAK,397
LGA,CHO,305
LGA,CHS,641
LGA,CLE,419
LGA,CLT,544
LGA,CMH,479
LGA,CVG,585
LGA,DAL,1381
LGA,DAY,549
LGA,DCA,214
LGA,DEN,1620
LGA,DFW,1389
LGA,DSM,1031
LGA,DTW,502
LGA,EYW,1207
LGA,FLL,1076
LGA,GRR,618
LGA,GSO,461
LGA,GSP,610
LGA,HOU,1428
LGA,IAD,229
LGA,IAH,1416
LGA,ILM,500
LGA,IND,660
LGA,JAX,833
LGA,LEX,604
LGA,LIT,1085
LGA,MCI,1107
LGA,MCO,950
LGA,MDW,725
LGA,MEM,963
LGA,MHT,195
LGA,MIA,1096
LGA,MKE,738
LGA,MSN,812
LGA,MSP,1020
LGA,MSY,1183
LGA,MTJ,1810
LGA,MYR,563
LGA,OMA,1148
LGA,ORD,733
LGA,ORF,296
LGA,PBI,1035
LGA,PHL,96
LGA,PIT,335
LGA,PWM,269
LGA,RDU,431
LGA,RIC,292
LGA,ROC,254
LGA,RSW,1080
LGA,SAV,722
LGA,SDF,659
LGA,SRQ,1047
LGA,STL,888
LGA,SYR,198
LGA,TPA,1010
LGA,TVC,655
LGA,TYS,647
LGA,XNA,1147
PHF,ATL,508
PHF,DEN,1533
SUX,ORD,436
MKG,ORD,118
ABI,DFW,158
STT,ATL,1599
STT,BOS,1693
STT,CLT,1520
STT,EWR,1634
STT,FLL,1107
STT,IAD,1606
STT,IAH,2070
STT,JFK,1623
STT,MIA,1107
STT,ORD,2116
STT,PHL,1605
STT,SJU,68
ICT,ATL,782
ICT,DAL,333
ICT,DEN,420
ICT,DFW,328
ICT,IAH,542
ICT,LAS,986
ICT,LAX,1203
ICT,MDW,589
ICT,MSP,545
